"iati-identifier","title","reporting-org","total-commitment","total-spend","currency","link","activity-status"
"XM-DAC-46008-cfa000866","Banco de Desarrollo Productivo S.A.M.","CAF Banco de Desarrollo de América Latina y el Caribe","13,080,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa000866",2
"XM-DAC-46008-cfa004506","COLONY LATIN AMERICA FUND I-A L.P.","CAF Banco de Desarrollo de América Latina y el Caribe","15,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa004506",4
"XM-DAC-46008-cfa005648","Darby Latin American Mezzanine Fund II","CAF Banco de Desarrollo de América Latina y el Caribe","15,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa005648",2
"XM-DAC-46008-cfa006697","TRG Latin American Private Equity Fund","CAF Banco de Desarrollo de América Latina y el Caribe","8,050,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa006697",2
"XM-DAC-46008-cfa006934","Fondo de Infraestructura Ashmore Colombia I FCP","CAF Banco de Desarrollo de América Latina y el Caribe","40,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa006934",2
"XM-DAC-46008-cfa007644","Fundo Finhealth I - Fundo de Investimento em Participações em Empresas Emergentes Inovadoras","CAF Banco de Desarrollo de América Latina y el Caribe","10,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa007644",2
"XM-DAC-46008-cfa007671","Proyecto de Rehabilitación Unidades 1 a 6 de Guri","CAF Banco de Desarrollo de América Latina y el Caribe","380,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa007671",2
"XM-DAC-46008-cfa007902","Programa de Rehabilitación y Optimización de las Plantas Mayores de Potabilización de Agua en la República Bolivariana de Venezuela","CAF Banco de Desarrollo de América Latina y el Caribe","150,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa007902",2
"XM-DAC-46008-cfa007946","Mexico Ventures I, LP","CAF Banco de Desarrollo de América Latina y el Caribe","10,040,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa007946",2
"XM-DAC-46008-cfa007990","Glisco Partners III, L.P.","CAF Banco de Desarrollo de América Latina y el Caribe","20,240,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa007990",2
"XM-DAC-46008-cfa008003","ória Tech 1 - Fundo de Investimento em Participações Multiestratégia","CAF Banco de Desarrollo de América Latina y el Caribe","10,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa008003",2
"XM-DAC-46008-cfa008109","Metro de Panamá II","CAF Banco de Desarrollo de América Latina y el Caribe","100,000,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa008109",4
"XM-DAC-46008-cfa008132","FONDO DE FONDOS MéXICO II, L.P.","CAF Banco de Desarrollo de América Latina y el Caribe","40,050,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa008132",2
"XM-DAC-46008-cfa008272","CAPITAL TECH II - FUNDO DE INVESTIMENTO EM PARTICIPAçõES MULTIESTRATéGIA","CAF Banco de Desarrollo de América Latina y el Caribe","8,005,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa008272",2
"XM-DAC-46008-cfa008313","Latin Renewables Infrastructure Fund, Lp","CAF Banco de Desarrollo de América Latina y el Caribe","15,250,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa008313",2
"XM-DAC-46008-cfa008349","Nexxus Capital Private Equity Fund VI","CAF Banco de Desarrollo de América Latina y el Caribe","20,450,000",0,"USD","https://d-portal.iatistandard.org/ctrack.html#view=act&aid=XM-DAC-46008-cfa008349",2
